# Jaccard Index Curves for Each Sawtooth Event
# shot_number,time_before,radius,jaccard_index
42354,213.20,51.296,0.771926
42354,213.20,51.448,0.827994
42354,213.20,51.600,0.884949
42354,213.20,51.752,0.942635
42354,213.20,51.904,0.999042
42354,213.20,52.056,0.943560
42354,213.20,52.208,0.893587
42354,213.20,52.360,0.848441
42354,213.20,52.512,0.807556
42354,213.20,52.664,0.770454
42354,213.20,52.816,0.736733
42354,213.20,52.968,0.706050
42354,213.20,53.120,0.678112
42354,213.20,53.272,0.652667
42354,213.20,53.424,0.629495
42354,213.20,53.576,0.608407
42354,213.20,53.728,0.589236
42354,213.20,53.880,0.571835
42354,213.20,54.032,0.556070
42354,213.20,54.184,0.541825
42354,213.20,54.336,0.528988
42354,213.20,54.488,0.517460
42354,213.20,54.640,0.507140
42354,213.20,54.792,0.497934
42354,213.20,54.944,0.489742
42354,213.20,55.096,0.482462
42354,213.20,55.248,0.475981
42354,213.20,55.400,0.470174
42354,213.20,55.552,0.464897
42354,213.20,55.704,0.459982
42354,213.20,55.856,0.455231
42354,213.20,56.008,0.450406
42354,213.20,56.160,0.445225
42354,213.20,56.312,0.439354
42354,213.20,56.464,0.432416
42354,213.20,56.616,0.424040
42354,213.20,56.768,0.413807
42354,213.20,56.920,0.401242
42354,213.20,57.072,0.385811
42354,213.20,57.224,0.366927
42354,213.20,57.376,0.343958
42354,213.20,57.528,0.316248
42354,213.20,57.680,0.283138
42354,213.20,57.832,0.244005
42354,213.20,57.984,0.198303
42354,213.20,58.136,0.145617
42354,213.20,58.288,0.085748
42354,213.20,58.440,0.019178
42354,213.20,58.592,0.000000
42354,213.20,58.744,0.000000
42354,213.20,58.896,0.000000
42354,213.20,59.048,0.000000
42354,213.20,59.200,0.000000
42359,207.00,28.800,0.520451
42359,207.00,28.952,0.514833
42359,207.00,29.104,0.509454
42359,207.00,29.256,0.504306
42359,207.00,29.408,0.499379
42359,207.00,29.560,0.494667
42359,207.00,29.712,0.490161
42359,207.00,29.864,0.485854
42359,207.00,30.016,0.481739
42359,207.00,30.168,0.477810
42359,207.00,30.320,0.474062
42359,207.00,30.472,0.470488
42359,207.00,30.624,0.467085
42359,207.00,30.776,0.463846
42359,207.00,30.928,0.460767
42359,207.00,31.080,0.457845
42359,207.00,31.232,0.455075
42359,207.00,31.384,0.452454
42359,207.00,31.536,0.449978
42359,207.00,31.688,0.447644
42359,207.00,31.840,0.445449
42359,207.00,31.992,0.443390
42359,207.00,32.144,0.441465
42359,207.00,32.296,0.439671
42359,207.00,32.448,0.438006
42359,207.00,32.600,0.436468
42359,207.00,32.752,0.435054
42359,207.00,32.904,0.433764
42359,207.00,33.056,0.432596
42359,207.00,33.208,0.431547
42359,207.00,33.360,0.430618
42359,207.00,33.512,0.429806
42359,207.00,33.664,0.429110
42359,207.00,33.816,0.428531
42359,207.00,33.968,0.428066
42359,207.00,34.120,0.427715
42359,207.00,34.272,0.427478
42359,207.00,34.424,0.427354
42359,207.00,34.576,0.427343
42359,207.00,34.728,0.427445
42359,207.00,34.880,0.427659
42359,207.00,35.032,0.427985
42359,207.00,35.184,0.428425
42359,207.00,35.336,0.428977
42359,207.00,35.488,0.429642
42359,207.00,35.640,0.430421
42359,207.00,35.792,0.431314
42359,207.00,35.944,0.432322
42359,207.00,36.096,0.433446
42359,207.00,36.248,0.434686
42359,207.00,36.400,0.436045
42359,207.00,36.552,0.437522
42359,207.00,36.704,0.439119
42359,207.00,36.856,0.440838
42359,207.00,37.008,0.442679
42359,207.00,37.160,0.444646
42359,207.00,37.312,0.446739
42359,207.00,37.464,0.448961
42359,207.00,37.616,0.451313
42359,207.00,37.768,0.453798
42359,207.00,37.920,0.456418
42359,207.00,38.072,0.459177
42359,207.00,38.224,0.462076
42359,207.00,38.376,0.465118
42359,207.00,38.528,0.468307
42359,207.00,38.680,0.471646
42359,207.00,38.832,0.475138
42359,207.00,38.984,0.478788
42359,207.00,39.136,0.482598
42359,207.00,39.288,0.486574
42359,207.00,39.440,0.490720
42359,207.00,39.592,0.495040
42359,207.00,39.744,0.499539
42359,207.00,39.896,0.504224
42359,207.00,40.048,0.509098
42359,207.00,40.200,0.514168
42359,207.00,40.352,0.519441
42359,207.00,40.504,0.524940
42359,207.00,40.656,0.530871
42359,207.00,40.808,0.537560
42359,207.00,40.960,0.545344
42359,207.00,41.112,0.554577
42359,207.00,41.264,0.565636
42359,207.00,41.416,0.578929
42359,207.00,41.568,0.594912
42359,207.00,41.720,0.614103
42359,207.00,41.872,0.637103
42359,207.00,42.024,0.664628
42359,207.00,42.176,0.697551
42359,207.00,42.328,0.736952
42359,207.00,42.480,0.784201
42359,207.00,42.632,0.840863
42359,207.00,42.784,0.907642
42359,207.00,42.936,0.984885
42359,207.00,43.088,0.932041
42359,207.00,43.240,0.853308
42359,207.00,43.392,0.780178
42359,207.00,43.544,0.713354
42359,207.00,43.696,0.653301
42359,207.00,43.848,0.600334
42359,207.00,44.000,0.554690
42359,207.00,44.152,0.516584
42359,207.00,44.304,0.486264
42359,207.00,44.456,0.464066
42359,207.00,44.608,0.450468
42359,207.00,44.760,0.445761
42359,207.00,44.912,0.449154
42359,207.00,45.064,0.459799
42359,207.00,45.216,0.476998
42359,207.00,45.368,0.500129
42359,207.00,45.520,0.528587
42359,207.00,45.672,0.561725
42359,207.00,45.824,0.598797
42359,207.00,45.976,0.638905
42359,207.00,46.128,0.680944
42359,207.00,46.280,0.723555
42359,207.00,46.432,0.765099
42359,207.00,46.584,0.803645
42359,207.00,46.736,0.837015
42359,207.00,46.888,0.862956
42359,207.00,47.040,0.880727
42359,207.00,47.192,0.891047
42359,207.00,47.344,0.894910
42359,207.00,47.496,0.893471
42359,207.00,47.648,0.887964
42359,207.00,47.800,0.879640
42359,207.00,47.952,0.869727
42359,207.00,48.104,0.859401
42359,207.00,48.256,0.849786
42359,207.00,48.408,0.841966
42359,207.00,48.560,0.837010
42359,207.00,48.712,0.836020
42359,207.00,48.864,0.840190
42359,207.00,49.016,0.850894
42359,207.00,49.168,0.869342
42359,207.00,49.320,0.895711
42359,207.00,49.472,0.930154
42359,207.00,49.624,0.973011
42359,207.00,49.776,0.975790
42359,207.00,49.928,0.920582
42359,207.00,50.080,0.863341
42359,207.00,50.232,0.805173
